episode,mode,total_reward,avg_runtime,avg_cost,avg_quality
1,baseline,2.8422387844140826,32.817887600859365,40.31047225313259,0.9340895561527762
2,baseline,2.853176060124544,30.96747371593832,41.47033412533035,0.9328242512312521
3,baseline,2.864374789206475,30.103228669892225,41.32411648007631,0.9300116835911376
4,baseline,2.8094268972834335,32.20965981051644,42.43403125690498,0.9351038347937937
5,baseline,2.8387279942791537,31.372977664559663,41.459067367726405,0.9319058240172611
6,baseline,2.7337304461661005,33.134747524286425,44.05766426383366,0.9327081481738204
7,baseline,2.8918251854273933,32.91414337866221,38.37765489526628,0.9348240284551211
8,baseline,2.7674896009692205,33.24446647579142,43.85034673227792,0.9389719862341908
9,baseline,2.891018413762065,31.813820997488527,39.39950349902095,0.9342703052349604
10,baseline,2.78660893355233,31.45412325132714,44.002159987690945,0.9346032029055564
11,baseline,2.869477949375153,30.549107414212976,42.19609669511037,0.9376216104216473
12,baseline,2.9041682055075677,31.163579760304703,40.41230678032453,0.9387130738046597
13,baseline,2.8301524271065883,31.17833697262396,42.19695642559871,0.9329069524124309
14,baseline,2.87911121153386,30.73101513424883,40.706243126257135,0.9330085336093019
15,baseline,2.8511752078502854,30.672030753706444,42.320936071812966,0.9351998756976542
16,baseline,2.8601930374817637,32.355081822597676,39.57575533957855,0.9316927933072339
17,baseline,2.857092654582544,31.158205687704502,40.97063730879583,0.9320627458990105
18,baseline,2.858645812242397,31.42596635226219,41.21903228581424,0.9349541556388615
19,baseline,2.774731842474681,32.33788036061781,43.05059571469944,0.9318887488715225
20,baseline,2.796751248713714,31.83578234591716,43.06239355851995,0.9338411292649283
