episode,mode,total_reward,avg_runtime,avg_cost,avg_quality
1,baseline,3.1915269404638416,32.05057770504716,31.43043733914491,0.9557104633137286
2,baseline,3.24028652427143,31.458813741497316,31.30989476541676,0.9619008473888563
3,baseline,3.192080134343824,31.76946712852628,32.7214706004994,0.9608707155138931
4,baseline,3.1641174359601836,31.496641635735138,34.1574086958002,0.9610937388497133
5,baseline,3.1437117917394524,33.46663963560888,32.97657978117738,0.9609584554318218
6,baseline,3.1431150633910674,32.07239645080464,33.13301446067966,0.9546500672356351
7,baseline,3.2103371947144366,32.55915299356302,30.933821047490415,0.9595323091481545
8,baseline,3.138546967050213,33.55669320252906,33.45897180859273,0.9627877184656516
9,baseline,3.1740207598998142,32.65408765929247,32.10631124857862,0.9586061465193183
10,baseline,3.134530902870734,33.757878041590445,33.452542008335556,0.9629582808237768
11,baseline,3.108701658573582,34.66201904027516,32.25634851294706,0.9563321694808273
12,baseline,3.1101047164946882,34.02199391283894,32.876862166385976,0.9565152236950623
13,baseline,3.186834674836751,30.94223950007904,33.71614633288269,0.960658864132159
14,baseline,3.1814863736414454,32.63983700644343,31.697870609698725,0.9579858128089999
15,baseline,3.1644817634400284,33.97931631500667,32.114242680587225,0.9633641476659751
16,baseline,3.1133279770411004,33.720114335084176,34.131522345412854,0.9619237788107053
17,baseline,3.1304132257411097,33.3229593877856,32.847098902938086,0.9569329366018403
18,baseline,3.176501238789944,30.402359087941498,33.81993538485211,0.9564117201219566
19,baseline,3.2231178314110664,31.30670686066689,32.535282493080594,0.9638335130509507
20,baseline,3.1834828014580463,33.02630764676358,31.99370977092571,0.9617966473800557
