episode,mode,total_reward,avg_runtime,avg_cost,avg_quality
1,baseline,2.9756677394573243,29.858985590757232,38.31672727157352,0.9360121122031186
2,baseline,3.0034081632890475,29.86593505842559,36.908870219761575,0.9345556590487455
3,baseline,2.944957503870641,30.71417590907974,38.13010464486506,0.9332129035438521
4,baseline,2.9308545682020597,30.715728552399675,39.13186036439528,0.9354088582243868
5,baseline,2.9433353396308064,30.73274208412436,38.80204490803754,0.9363410028869709
6,baseline,3.0243147117038673,29.684339585797904,36.20807283793452,0.9343250044594356
7,baseline,2.9138548891722458,30.139991876317104,40.50683928137171,0.9360051336228932
8,baseline,2.9818659808045846,29.999750128160212,37.75961226291099,0.9351700081162729
9,baseline,3.00671353702884,29.381302737310534,37.305597321464525,0.9347772076996433
10,baseline,2.9208593862261045,30.316291866733216,39.53191579662817,0.9334129155620279
11,baseline,2.9224175227607736,31.33303818107775,38.77315202192891,0.935014455567188
12,baseline,2.9525434908001715,30.35882273775104,38.80297059206539,0.9363176648091166
13,baseline,2.976225803955857,29.934791447099336,37.670694187875355,0.9332725889660448
14,baseline,2.9450800705337907,30.408837739744534,37.948450930452196,0.9308024574577418
15,baseline,2.958453033623439,29.91414737507883,38.30468834391562,0.93278478531966
16,baseline,2.9557944816498956,30.057083643724088,39.01645417684325,0.9365265854328158
17,baseline,2.9280565093741435,30.306741565963343,38.88478307995415,0.931568925104416
18,baseline,2.8897567279724825,31.01703402812826,39.444794409150084,0.9302604877808882
19,baseline,2.979790930061514,28.30207105679741,39.08046625292587,0.9328708725609192
20,baseline,2.9301147423882257,30.262175880508078,39.87645923194911,0.9367161240399311
