episode,mode,total_reward,avg_runtime,avg_cost,avg_quality
1,baseline,2.4825651883589477,33.28530012936327,33.72053127467105,0.9556704541099086
2,baseline,2.5211534320333353,32.44987156701666,33.47293867584546,0.9599024092226445
3,baseline,2.5500719850169737,32.94565955507797,31.195906285649492,0.9582258254578808
4,baseline,2.5630783486802216,31.740793567764605,32.26069618976982,0.9607770359577276
5,baseline,2.5832538217648797,30.824316550856526,31.796653653780595,0.9589183064644056
6,baseline,2.557021182004571,33.18094901242145,31.295747429824097,0.9616387777123705
7,baseline,2.5807834755799774,30.954462640289766,31.70694922854851,0.9585029282391857
8,baseline,2.5213185849944404,34.07961725056946,31.76429528613426,0.9595492089321287
9,baseline,2.5663054828304137,31.346908183064013,32.17636138760711,0.959192718560959
10,baseline,2.5579789402435082,32.68369787601371,31.298524043794334,0.9594058446599172
11,baseline,2.606337330615488,30.652540348168827,30.90587262070448,0.9593763974982384
12,baseline,2.5290952706457395,31.745697764788336,34.17891797436632,0.9618968963572081
13,baseline,2.58219141541827,33.073420028428025,30.101555005717522,0.9614227290252952
14,baseline,2.4995926060451112,33.006732250437665,33.53553655742132,0.9576094955505726
15,baseline,2.5392320736308087,33.08203458324179,31.394408840201987,0.957190235524921
16,baseline,2.5254649815348618,31.32281826482005,33.264511502529594,0.9543028942204637
17,baseline,2.5541445867718315,31.929082804249724,32.03628819605284,0.9583630016944706
18,baseline,2.574587105234324,29.83087061499271,33.655510450826505,0.9610786816376771
19,baseline,2.5273274043112783,33.598432403131525,32.0831112603385,0.9602395693951697
20,baseline,2.54150152638311,32.045772584041,33.40203637128296,0.9626144263723974
