episode,mode,total_reward,avg_runtime,avg_cost,avg_quality
1,train_rl,3.822426365507586,20.80842312079064,21.056446345271603,0.9738096204318285
2,train_rl,3.790377297353512,19.259989071884057,21.876592976676793,0.9637583697135067
3,train_rl,3.682593505133309,24.155655381677366,23.61387674121982,0.9753663616411478
4,train_rl,3.5657542306206578,27.554895624880107,24.338513280975555,0.9726178906534099
5,train_rl,3.4022631586436685,34.33667122438829,25.635519358739295,0.9803135846443715
6,train_rl,3.7044326898816804,23.332817314027537,22.11535559603344,0.968127402526641
7,train_rl,3.667432872221785,25.565365140283156,23.38828969177426,0.9782548486046441
8,train_rl,3.723556256271779,23.666468741158575,22.795126639241403,0.9770192281563558
9,train_rl,3.7214968055120567,23.87987376680383,23.068341838343283,0.979040439128147
10,train_rl,3.633868140447899,23.944873727744472,24.74400635329874,0.9702180284947961
11,train_rl,3.8509033504634296,19.101817216506937,21.73676958681578,0.9743736041092994
12,train_rl,3.5259023173774855,27.835874018709195,24.45018025429267,0.9666107348405065
13,train_rl,3.603963211364258,27.904391876565846,24.276442400633666,0.9816968136588493
14,train_rl,3.626828443913115,25.17970438686846,25.345093542272004,0.9779896784283253
15,train_rl,3.8357616230059794,19.687188726384022,20.891084009535263,0.9700436882807925
16,train_rl,3.544307444055943,31.333826304304296,23.13056127102483,0.9811834266878343
17,train_rl,3.675281796496219,23.921998323348753,25.258564487366375,0.9809591733528193
18,train_rl,3.741214998270843,24.019360398998792,22.07228104890445,0.9787012068936848
19,train_rl,3.6867046609207854,22.759293689530747,24.11296804295236,0.9717022408465728
20,train_rl,3.722121990344997,23.172341757962805,24.178698756558255,0.9811796006416049
21,train_rl,3.7996612008015838,20.978819191134697,21.488456813715885,0.9722686201845697
22,train_rl,3.675554310058033,25.57626167803971,23.680161239595524,0.9813929765997826
23,train_rl,3.56607217950413,29.478789574641656,22.06942510365576,0.970955509292313
24,train_rl,3.7271012393298415,22.691229809794184,23.573228251731887,0.9767425381735986
25,train_rl,3.8055575354614204,23.572432036748914,21.44632028721894,0.9862052687121234
26,train_rl,3.69534953398306,20.87407364412299,25.011495560257305,0.9684977528185135
27,train_rl,3.694643906265929,24.995651262881832,22.12061582932375,0.9745101167142136
28,train_rl,3.731680608963456,22.688522885755596,22.492655727189746,0.972242014857418
29,train_rl,3.776837803544597,21.487373440758443,23.573172167105042,0.9806702887482368
30,train_rl,3.8731687019498264,19.719815065943767,19.386996362161018,0.9701677975304891
31,train_rl,3.607058836380541,25.577459050272644,24.666299501857885,0.972630560036761
32,train_rl,3.6174694584838756,28.583131916157804,23.047435972258768,0.981646731138858
33,train_rl,3.6938688617732587,26.838996532168018,21.656585576692073,0.9812516828989523
34,train_rl,3.6380289039947336,26.41986057521662,24.438737617858333,0.9818987717643216
35,train_rl,3.7732867209848204,21.162298921628594,20.82600295391875,0.9645988535747009
36,train_rl,3.816570392802802,21.515138896903725,21.60015536632002,0.9788905498766791
37,train_rl,3.6296027564962996,25.60305619088421,24.027195953580723,0.9740718120215845
38,train_rl,3.7798339551739892,23.302300736716113,21.694269209617563,0.9809496407664662
39,train_rl,3.6597130610945374,24.012779078113365,24.22148638662853,0.9731139395426169
