episode,mode,total_reward,avg_runtime,avg_cost,avg_quality
1,baseline,3.496421251950334,34.04031682092852,22.307354095073144,0.981022604970075
2,baseline,3.479502423890846,33.371033191368504,22.774124557183907,0.9766262735209313
3,baseline,3.466086264012792,34.49146505428366,22.052376857255673,0.9759364623602551
4,baseline,3.5856680460282186,31.76427852144849,21.034249895854465,0.9811262512921586
5,baseline,3.5425332922422283,33.57950108576399,21.399374882406747,0.9834010382892993
6,baseline,3.512920028290267,33.43260293066375,22.35182525939268,0.9815061466083355
7,baseline,3.514740295822329,33.722618278304125,21.699685130633195,0.9800595762091524
8,baseline,3.5562904908773696,31.307540731679524,21.802796648161685,0.97680978507468
9,baseline,3.530037447562548,32.34950585620235,22.62936051010472,0.9809018213440451
10,baseline,3.5463684299563436,31.8880042105894,22.013215812220547,0.9787797861053186
11,baseline,3.5721899480548185,30.071645150990673,23.34701795729931,0.9815313051524136
12,baseline,3.4916528189244382,32.79332823374009,23.525980356751116,0.9799271067373436
13,baseline,3.548644580319972,30.875168171672307,22.025528752895678,0.9742324006868344
14,baseline,3.579105643048764,31.93674254898882,22.07371164069424,0.9858733995581682
15,baseline,3.5411103716863286,32.56085108838444,21.364352543897635,0.9778480924986761
16,baseline,3.5041990472969236,32.83126230679911,23.048155680226927,0.980236899394515
17,baseline,3.5213657103166636,32.39769358121463,23.276462161622405,0.9826439207775177
18,baseline,3.5520716527497003,30.994667443946533,22.784012437743698,0.9793077299583912
19,baseline,3.473687883258513,33.52423758265623,23.252175570921516,0.9786196424195912
20,baseline,3.5360170696113524,33.157905750549816,22.096875296022382,0.9834773191551314
