episode,mode,total_reward,avg_runtime,avg_cost,avg_quality
1,baseline,2.9226623120068567,29.339671349288075,20.4627532432291,0.9796777009643001
2,baseline,2.894959070546286,28.629713795783545,21.929220535559647,0.9765344392932875
3,baseline,2.885191597242203,30.640818724845932,21.011963578377074,0.9795618108266657
4,baseline,2.8967526248380193,29.805930385560416,20.888475615890155,0.9776601862167578
5,baseline,2.8501676481977705,31.86988963124032,22.339695349686217,0.9835898369540752
6,baseline,2.8919570505618375,31.41994900948708,21.121591564684906,0.9856969655113194
7,baseline,2.8843935440563864,30.76787208525358,21.30185951489447,0.9814470440148368
8,baseline,2.866367003520638,30.262343419629662,22.0846162874224,0.9783265494154197
9,baseline,2.8031146106264515,31.771395926427843,22.8787083799362,0.974029174188433
10,baseline,2.899632462281682,29.922014048571185,20.80424351184986,0.9785394033725257
11,baseline,2.860860248260533,31.59938196490799,21.36641301252661,0.9800440369523062
12,baseline,2.883975915041953,29.75765361392132,22.49733914202835,0.9822689425402364
13,baseline,2.9281462212242735,28.653851263642437,21.38329884891326,0.982222305868847
14,baseline,2.8622882910169345,32.277051969595135,20.3827640638042,0.9788711529212302
15,baseline,2.89360859431004,28.950543969426164,22.63275130535033,0.9813186249513924
16,baseline,2.8433772021033015,32.19472397064257,21.803565568111562,0.9808357482195962
17,baseline,2.8951615270990456,30.313184312430476,20.51981523339612,0.9779553795038944
18,baseline,2.9179624366123087,30.37734106131611,20.057344342835343,0.9816640361738344
19,baseline,2.8947753175053945,29.914035858546853,21.000259668836186,0.9782653070132639
20,baseline,2.9298688437105023,29.220380332850002,19.881834925619508,0.977978287219973
